City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
108,Longyearbyen,SJ,78.2186,15.6401,19.4,68,40,19.57,scattered clouds
109,Humberto De Campos,BR,-2.5983,-43.4611,74.86,93,100,4.56,overcast clouds
110,Binzhou,CN,37.3667,118.0167,51.94,86,100,6.2,light rain
111,Arraial Do Cabo,BR,-22.9661,-42.0278,86.0,74,0,14.97,clear sky
112,Galesong,ID,-5.3166,119.3661,73.4,100,20,3.44,few clouds
113,Narsaq,GL,60.9167,-46.05,12.2,40,1,6.91,clear sky
114,Lavrentiya,RU,65.5833,-171.0,-0.27,83,100,7.58,overcast clouds
115,Dunedin,NZ,-45.8742,170.5036,57.99,67,58,7.0,broken clouds
116,Port Keats,AU,-14.25,129.55,77.79,85,100,5.73,overcast clouds
117,Atuona,PF,-9.8,-139.0333,80.67,77,16,20.42,few clouds
118,Sola,VU,-13.8833,167.55,82.2,75,95,13.47,overcast clouds
119,Dikson,RU,73.5069,80.5464,-10.86,100,100,10.47,overcast clouds
120,Vestmannaeyjar,IS,63.4427,-20.2734,22.98,66,21,14.36,few clouds
121,Snezhnogorsk,RU,69.1933,33.2531,21.2,73,0,2.24,clear sky
122,Hambantota,LK,6.1241,81.1185,79.09,83,100,10.36,heavy intensity rain
123,Mar Del Plata,AR,-38.0023,-57.5575,64.99,88,90,23.02,light rain
124,Ahuimanu,US,21.4447,-157.8378,79.0,65,40,7.81,scattered clouds
125,Puerto Palomas,MX,31.7667,-107.6167,62.6,20,1,18.41,clear sky
126,Mhlume,SZ,-26.0333,31.85,69.8,88,40,4.61,scattered clouds
127,Mahebourg,MU,-20.4081,57.7,77.0,94,75,3.44,light rain
128,Nikolskoye,RU,59.7035,30.7861,34.0,93,20,2.82,fog
129,Payerne,CH,46.822,6.9361,57.2,51,75,6.91,broken clouds
130,Kamaishi,JP,39.2667,141.8833,39.31,81,38,6.87,scattered clouds
131,Rantepao,ID,-2.9701,119.8978,67.71,97,100,1.97,moderate rain
132,Port Hardy,CA,50.6996,-127.4199,48.2,71,90,6.91,overcast clouds
133,Batagay-Alyta,RU,67.8006,130.4114,-10.3,96,100,3.11,overcast clouds
134,Castro,BR,-24.7911,-50.0119,72.86,71,40,4.99,scattered clouds
135,Lebu,CL,-37.6167,-73.65,59.22,62,0,19.1,clear sky
136,Goshogawara,JP,40.8044,140.4414,39.0,71,100,4.61,overcast clouds
137,Raga,SS,8.4596,25.678,77.63,66,100,10.69,overcast clouds
138,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,14.0,67,100,6.71,overcast clouds
139,Shanghai,CN,31.2222,121.4581,64.4,88,40,11.18,moderate rain
140,Scarborough,GB,54.2797,-0.4044,41.0,75,69,1.01,broken clouds
141,Nhulunbuy,AU,-12.2333,136.7667,78.8,94,100,4.61,overcast clouds
142,Juruti,BR,-2.1522,-56.0922,81.16,73,89,5.35,overcast clouds
143,Suntar,RU,62.1444,117.6319,1.29,98,61,3.83,broken clouds
144,Ozd,HU,48.2167,20.3,45.28,68,82,2.15,broken clouds
145,Kangalassy,RU,62.3464,129.9628,6.8,61,40,6.71,light snow
146,Ponta Do Sol,PT,32.6667,-17.1,66.2,88,40,8.05,scattered clouds
147,Tamandare,BR,-8.7597,-35.1047,77.79,83,99,6.8,overcast clouds
148,Nemuro,JP,43.3236,145.575,29.01,67,0,21.77,clear sky
149,Tivaouane,SN,14.9515,-16.8129,69.8,73,5,24.16,clear sky
150,Whitehorse,CA,60.7161,-135.0538,35.6,55,75,2.3,broken clouds
151,Cap-Aux-Meules,CA,47.3821,-61.8597,39.2,93,100,3.44,light rain
152,Tripoli,LY,32.8752,13.1875,57.45,60,0,9.35,clear sky
153,Kovernino,RU,57.1253,43.8142,32.34,93,100,4.41,overcast clouds
154,Zakopane,PL,49.299,19.9489,37.4,70,20,6.91,few clouds
155,Jamestown,US,42.097,-79.2353,42.01,100,90,16.13,overcast clouds
156,Portland,US,45.5234,-122.6762,52.0,58,90,0.25,overcast clouds
157,Mildura,AU,-34.2,142.15,55.4,76,74,4.61,broken clouds
158,La Vergne,US,36.0156,-86.5819,69.8,49,1,4.61,clear sky
159,Khatanga,RU,71.9667,102.5,-12.41,99,91,2.37,overcast clouds
160,Belen,TR,36.4891,36.2233,46.4,57,40,5.75,scattered clouds
161,Kahului,US,20.8947,-156.47,80.6,74,20,5.75,few clouds
162,Kruisfontein,ZA,-34.0033,24.7314,66.99,67,21,1.01,few clouds
163,Harper,LR,4.375,-7.7169,78.57,88,1,5.37,clear sky
164,East London,ZA,-33.0153,27.9116,68.81,85,45,11.97,scattered clouds
165,Tessalit,ML,20.1986,1.0114,76.14,9,0,16.31,clear sky
166,Pisco,PE,-13.7,-76.2167,77.0,57,0,25.32,clear sky
167,Taldan,RU,53.6667,124.8,21.2,94,100,9.04,light snow
168,Provideniya,RU,64.3833,-173.3,3.33,90,100,14.27,overcast clouds
169,Payo,ID,-3.7508,103.6372,72.86,98,100,1.9,overcast clouds
170,Duliby,UA,49.2313,23.8153,36.0,86,100,4.47,overcast clouds
171,Vila Velha,BR,-20.3297,-40.2925,82.4,69,0,10.36,clear sky
172,Tiksi,RU,71.6872,128.8694,6.33,93,100,7.11,overcast clouds
173,Summerville,US,33.0185,-80.1757,87.01,54,40,11.5,scattered clouds
174,Mount Isa,AU,-20.7333,139.5,73.4,31,0,6.91,clear sky
175,Khorixas,NA,-20.3667,14.9667,69.06,52,10,10.56,clear sky
176,Airai,TL,-8.9266,125.4092,59.52,92,96,1.95,overcast clouds
177,San Quintin,MX,30.4833,-115.95,59.13,59,14,15.97,few clouds
178,Lasa,IT,46.6166,10.7002,57.2,75,0,3.24,clear sky
179,Bluefield,US,37.2698,-81.2223,71.01,30,1,9.22,clear sky
180,Alofi,NU,-19.0595,-169.9187,82.4,83,75,12.66,light rain
181,Sorland,NO,67.667,12.6934,44.6,70,75,13.8,broken clouds
182,Matelica,IT,43.2541,13.0106,52.0,67,94,1.01,overcast clouds
183,Katakwi,UG,1.8911,33.9661,75.65,31,100,7.43,overcast clouds
184,Isiro,CD,2.7739,27.616,63.84,98,100,3.27,overcast clouds
185,Charagua,BO,-19.8,-63.2167,84.2,70,75,4.61,broken clouds
186,Aklavik,CA,68.2191,-135.0107,-0.4,71,100,9.22,overcast clouds
187,Chimoio,MZ,-19.1164,33.4833,71.01,100,75,4.61,moderate rain
188,Saint Anthony,US,45.0205,-93.218,46.99,52,1,5.75,clear sky
189,Babai,IN,22.7,77.9333,75.69,14,0,2.08,clear sky
190,Mittagong,AU,-34.45,150.45,60.01,89,0,1.01,clear sky
191,Santa Cruz,BO,-17.8,-63.1667,86.0,70,75,13.8,broken clouds
192,Bubaque,GW,11.2833,-15.8333,77.77,75,8,19.91,clear sky
193,Grindavik,IS,63.8424,-22.4338,23.0,63,40,9.22,scattered clouds
194,Pacific Grove,US,36.6177,-121.9166,64.99,39,1,6.91,clear sky
195,Gunjur,GM,13.2019,-16.7339,73.4,68,8,10.36,clear sky
196,Lufilufi,WS,-13.8745,-171.5986,86.0,84,20,3.44,few clouds
197,Khash,IR,28.2211,61.2158,68.02,31,0,2.84,clear sky
198,Sterling,US,39.0062,-77.4286,78.8,29,40,23.02,scattered clouds
199,Severnyy,RU,50.677,36.5532,39.2,70,0,4.47,clear sky
200,Ribeira Grande,PT,38.5167,-28.7,59.0,63,20,9.22,few clouds
201,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,76.84,92,81,1.07,broken clouds
202,Clarksville,US,36.5298,-87.3595,71.01,56,1,4.61,clear sky
203,Esperance,AU,-33.8667,121.9,55.4,88,0,9.22,clear sky
